sample_id,scene_id,split,cluster_id,cluster_name,input_image,input_mask,output_image,output_mask,cluster_image_rel,cluster_mask_rel,input_image_rel,input_mask_rel,output_image_rel,output_mask_rel
GF2_PMS1__L1A0000564539-MSS1_1920_0,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_0.png
GF2_PMS1__L1A0000564539-MSS1_1920_1280,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1280.png
GF2_PMS1__L1A0000564539-MSS1_1920_1920,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_1920.png
GF2_PMS1__L1A0000564539-MSS1_1920_2560,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_2560.png
GF2_PMS1__L1A0000564539-MSS1_1920_3200,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_3200.png
GF2_PMS1__L1A0000564539-MSS1_1920_640,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.png,images/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_1920_640.png
GF2_PMS1__L1A0000564539-MSS1_2560_0,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_0.png
GF2_PMS1__L1A0000564539-MSS1_2560_1280,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1280.png
GF2_PMS1__L1A0000564539-MSS1_2560_1920,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_1920.png
GF2_PMS1__L1A0000564539-MSS1_2560_3840,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_3840.png
GF2_PMS1__L1A0000564539-MSS1_2560_5120,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5120.png
GF2_PMS1__L1A0000564539-MSS1_2560_5760,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_5760.png
GF2_PMS1__L1A0000564539-MSS1_2560_640,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_640.png
GF2_PMS1__L1A0000564539-MSS1_2560_6400,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.png,images/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_2560_6400.png
GF2_PMS1__L1A0000564539-MSS1_3200_0,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_0.png
GF2_PMS1__L1A0000564539-MSS1_3200_1280,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1280.png
GF2_PMS1__L1A0000564539-MSS1_3200_1920,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_1920.png
GF2_PMS1__L1A0000564539-MSS1_3200_3840,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_3840.png
GF2_PMS1__L1A0000564539-MSS1_3200_5760,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_5760.png
GF2_PMS1__L1A0000564539-MSS1_3200_640,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_640.png
GF2_PMS1__L1A0000564539-MSS1_3200_6400,GF2_PMS1__L1A0000564539-MSS1,test,0,cluster_0,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.png,images/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.tif,masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.png,clusters/cluster_0/images/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.tif,clusters/cluster_0/masks/test/GF2_PMS1__L1A0000564539-MSS1_3200_6400.png
